area,bedrooms,age,price
2893,5,14,468829
1123,4,6,247162
1516,2,3,263845
1380,2,16,236654
2549,1,7,367574
3444,5,14,529626
1827,4,9,323448
2801,3,15,426762
952,2,21,184665
1683,2,35,266496
2556,3,2,401988
2182,4,27,359842
3363,4,2,512459
2755,5,35,438570
1654,5,18,317086
903,1,14,168902
2699,2,20,393699
2601,5,18,434014
2196,4,10,364884
1127,3,25,219498
1086,4,2,237639
2148,2,25,324623
1943,4,33,325075
1945,1,36,286084
603,2,31,142976
753,3,14,177144
3057,1,1,430375
1996,2,16,315862
598,3,3,166002
2700,1,35,372490
2384,1,6,350660
3461,2,25,489454
2419,5,13,412741
1377,1,34,213364
837,1,8,165422
3369,3,21,488647
1456,4,34,267257
2204,2,4,341997
660,2,25,147620
2103,5,15,372205
3348,5,4,524938
897,2,12,181746
1800,5,32,326837
1315,3,32,237953
2027,2,28,312969
2419,5,13,405356
1915,2,31,294399
1658,4,14,299587
1718,1,20,264497
900,2,18,179535
1139,1,29,185775
3235,5,6,515301
959,1,32,166432
1454,2,29,245781
969,4,2,227950
1545,5,23,303737
3297,2,19,465881
2193,5,31,374968
2585,3,5,406933
2777,1,19,386728
1062,3,34,207203
2985,2,10,429224
2299,4,25,380644
2574,5,2,434224
725,1,11,148268
1297,5,31,267476
2831,2,15,418679
3426,5,9,535588
1459,1,23,228115
2004,2,19,315175
952,5,9,239032
1315,4,35,257248
1158,2,21,209307
1046,2,9,200095
1715,4,28,304497
516,3,7,154157
1743,1,16,270187
2705,3,16,416805
3024,5,33,471694
1569,4,4,293061
3065,3,4,457298
2646,2,39,380346
2268,5,17,389015
1560,5,37,300338
2827,3,39,422741
3044,3,29,443867
801,4,36,192129
680,1,38,128492
1106,3,39,209250
1199,3,37,224322
1492,2,35,248589
1639,5,7,319527
690,1,27,137185
2800,2,28,405576
1480,4,22,281713
3475,4,14,523947
2506,3,7,395743
1684,3,37,284635
627,4,22,177905
2565,3,5,397297
2316,1,2,339675
2258,3,27,355569
3113,5,21,488111
1069,3,38,204318
1846,2,15,299685
2395,1,21,343727
3233,2,10,462925
1125,2,23,206486
3401,5,39,521762
2186,1,5,324021
654,1,1,140860
3037,1,13,426638
1909,1,21,282268
1284,1,26,206048
745,5,21,206789
2000,3,18,323236
2205,2,37,327628
3306,1,32,445476
1037,3,36,207610
2390,3,17,377480
2341,2,35,351416
1420,5,11,286182
2955,4,21,458390
1024,4,26,224167
3375,3,4,498965
2029,2,34,312121
3450,4,18,519451
535,3,35,145775
1184,5,29,252069
519,4,29,165459
2868,3,38,427811
3059,3,21,448839
899,1,13,169235
3201,5,17,506523
1471,1,9,241164
2406,2,1,370166
3018,1,2,423667
1666,1,29,249548
1615,4,33,292826
1333,3,10,251550
2323,5,21,397279
3274,1,28,447265
2482,5,11,422667
1353,1,34,214806
550,2,8,142745
1074,1,22,188007
1648,4,8,306576
2697,3,15,415398
2861,2,17,416606
3117,1,23,434296
2852,5,24,459801
2215,2,19,335084
1181,2,5,216529
1337,1,32,210807
1577,2,1,270192
2991,5,23,478729
3160,2,37,445456
2811,5,8,456557
2095,1,13,312668
504,3,8,156360
1626,2,23,266871
1719,3,1,301156
1273,5,24,272019
1376,2,35,233938
1491,4,24,279048
3431,3,17,497544
546,2,5,144258
3414,3,20,495912
3370,2,21,476793
3483,1,31,470083
3203,3,36,465531
768,4,11,201770
869,4,15,212578
1135,5,19,250824
1629,2,7,276069
2193,3,28,348051
2182,5,5,388502
1156,3,5,233081
619,2,30,139228
1330,4,32,258894
2310,1,8,340318
1581,4,10,294516
2474,5,38,401914
1869,1,32,280600
1240,5,28,261207
616,2,17,150163
2353,1,31,330482
3338,5,8,523264
1650,2,25,267888
2431,4,9,402941
1512,2,2,261472
2164,3,15,350802
1581,2,3,269362
1133,2,36,197876
1012,3,4,210964
3349,5,14,521901
1619,5,25,309703
1641,2,10,270507
1059,3,21,217895
987,3,36,199712
1396,4,12,269098
1712,5,27,318014
1203,1,2,205079
1970,5,13,356977
1080,5,32,244735
3337,4,31,499133
3408,1,16,470978
2794,4,32,432835
653,1,32,130528
2179,2,34,331963
1496,1,11,240694
3244,4,10,494352
1743,5,15,325417
1592,1,17,252828
1508,1,18,238184
2641,3,9,406557
2273,5,25,386653
1457,2,14,246245
952,4,25,211256
1727,2,22,282828
3459,5,30,524852
2765,1,20,392153
3021,1,21,418096
2979,5,32,466431
2888,1,21,407127
1050,1,35,179430
2135,1,32,310570
1812,4,30,316909
2257,4,39,369371
856,3,12,191140
2570,2,18,376739
2285,5,21,387261
3069,5,13,488264
2281,5,21,393867
3349,3,8,488914
3309,4,7,500828
2989,3,23,446960
2131,5,32,367133
3316,2,11,470193
1515,1,22,239708
1848,4,22,325942
1015,4,25,218900
3339,3,22,485628
835,4,28,197173
2282,5,29,384055
2805,5,13,455241
996,3,18,210336
1395,5,2,293611
2707,2,29,392733
1351,3,21,244394
2187,2,15,339528
2431,1,27,349498
3237,2,31,453198
2927,1,15,407901
2068,1,23,301024
1456,2,24,243373
3238,3,13,478339
2136,5,22,375223
1791,5,37,329051
1940,1,33,281001
1691,1,3,264979
1566,3,19,274243
784,4,23,194094
2944,2,29,419907
511,1,30,112065
2130,5,39,366091
3046,3,25,449386
1253,2,37,216378
2582,3,8,398862
3274,2,16,464272
3396,2,8,489209
589,1,1,134343
1275,3,5,242524
3152,3,3,475264
2125,5,1,380798
917,5,4,232465
614,1,35,122246
1116,1,32,183923
1325,4,34,254109
2149,5,25,374035
2016,2,10,313639
912,3,21,197556
1228,1,39,196339
3308,3,27,477132
1175,3,27,223918
2392,4,2,398635
3004,5,13,479682
3467,1,9,476992
2739,3,36,406487
3286,1,22,449946
1622,2,26,266159
2071,4,12,357555
1477,2,17,253826
1508,1,14,244040
2643,1,14,373764
2187,5,34,374185
3210,3,20,470476
536,3,11,151022
2048,2,16,319603
2826,4,31,438334
2764,3,6,428713
3414,5,19,530787
1372,2,37,230063
2321,2,4,360504
1796,5,4,334550
2609,4,20,419251
1095,5,10,254083
2403,4,24,384037
1228,5,35,253592
1865,5,26,343144
896,1,37,158410
1198,2,38,211219
2724,5,21,438505
2135,5,39,368068
895,3,21,195410
2992,2,10,438692
575,3,38,147564
764,2,4,171679
3002,3,20,447342
2319,5,17,398486
1217,5,7,266723
3282,1,4,454234
1350,3,29,249082
1890,4,14,327272
643,1,3,142667
1384,3,24,246695
895,3,37,190205
3495,1,16,482915
3438,5,4,540744
1992,3,24,322046
1667,5,34,314790
3116,1,30,426701
1562,5,18,303553
2656,2,19,396088
1565,4,31,288163
1709,3,19,293419
3482,4,19,517535
2945,5,22,470285
1133,3,24,218056
1656,5,12,315866
1738,2,30,274343
1232,1,38,196284
734,3,31,170921
3205,2,36,451620
1250,2,19,224957
3135,3,36,454445
1453,5,30,288949
3039,2,33,432833
3460,4,18,514932
2042,2,28,310597
1697,5,11,324325
2176,5,33,373557
1691,4,17,302236
2717,2,6,399132
1916,5,4,357131
3493,3,20,509048
3342,1,27,456714
3181,1,15,445458
1717,1,6,268598
2040,2,14,323997
2576,4,11,419187
1945,5,39,340543
2886,3,9,440586
2019,3,26,329040
1888,2,16,300611
2356,1,5,345978
1865,2,10,303348
999,4,3,230866
2180,4,13,367502
1010,5,30,238261
716,5,6,212597
1824,4,17,326555
1655,4,19,296619
2327,4,35,371122
2310,2,26,350788
2992,4,5,465682
3423,3,29,490456
1705,1,37,258236
2714,4,20,425575
590,1,21,128993
1213,2,10,217489
2381,1,5,349086
538,2,36,133871
672,3,6,171452
1152,2,26,205249
1253,2,4,231959
1743,5,39,316983
1581,4,39,286096
2183,4,35,360554
3023,3,1,457518
955,3,24,198667
1328,4,36,255933
1394,5,6,291116
1884,4,31,326957
2458,5,20,409428
2934,3,24,438697
2496,1,25,353139
2895,3,36,424636
689,3,21,172435
1004,2,30,187063
1714,2,24,275089
2031,2,30,310046
1323,2,22,233108
1428,5,28,282377
1433,4,7,279127
1640,1,35,245169
633,3,28,158398
2605,5,14,436135
1184,1,10,203802
3219,5,16,504324
2720,5,16,447618
2352,3,31,363787
1314,4,25,254356
1672,2,13,271636
579,4,6,174867
3433,3,9,505792
702,3,36,169493
3311,3,20,487247
1752,1,18,266358
2199,4,21,369338
1750,4,4,320089
2182,5,33,370816
2055,5,27,359543
2594,5,7,437272
1756,3,6,302742
2049,4,15,348704
1666,3,18,291891
1896,1,32,277171
3203,5,11,500588
970,3,20,208221
1535,3,24,272378
1853,1,15,280056
3283,2,7,469834
3331,4,21,500249
1467,2,26,243405
857,5,14,221609
1167,3,37,223547
872,1,21,161196
1531,1,18,237212
1645,4,5,303562
1871,2,3,299425
3223,4,23,485568
589,3,26,152441
3245,4,37,487945
1039,1,24,178779
3279,1,19,449666
1368,5,25,283416
540,5,21,180600
1239,3,12,235793
2446,2,33,364728
3049,4,4,474800
1724,3,7,295852
1428,5,22,285340
2536,4,33,403543
3008,5,17,477031
3279,4,24,489540
3299,2,34,463522
1424,3,28,250812
3456,4,39,504819
2081,1,22,308390
889,1,17,166177
2117,4,34,353252
3430,4,6,518757
755,4,6,195379
1208,1,34,200425
2338,1,1,348435
2444,4,10,395702
2997,5,21,474420
509,5,5,183396
3371,2,2,485416
1297,3,22,246423
1376,5,2,284934
1528,1,10,243930
1515,5,34,288470
2324,2,16,349948
873,2,39,173742
2693,3,22,407967
723,5,12,205035
1762,1,24,262129
2724,1,38,379800
2302,4,10,383854
1352,1,35,211492
562,3,32,152055
1740,3,7,302771
3374,1,21,456758
3342,1,20,453620
1188,4,26,242118
1984,1,4,304925
2133,4,22,356436
2652,4,15,425237
1010,1,21,177576
884,2,15,175904
904,2,22,178512
3370,4,28,507091
1017,1,14,181885
975,2,27,182580
2500,1,28,358665
3256,1,26,446854
2168,1,2,322516
2393,5,25,401467
3318,1,3,462594
1960,5,8,360575
3224,4,33,484490
1213,2,35,215093
582,2,6,148374
1668,2,39,262669
3004,2,23,430362
2401,2,25,356360
2548,2,19,379188
550,2,5,140849
1184,4,11,251177
1216,1,12,203869
1969,3,10,328960
948,5,8,239887
1380,3,24,246205
987,3,28,204592
2323,1,36,328951
2581,1,37,358370
2642,1,21,375854
2074,2,8,324491
2701,4,9,430661
749,2,15,167381
1173,4,18,241268
937,4,20,211431
2665,3,6,415863
1270,3,12,240873
767,4,2,200778
2484,4,7,408992
1577,2,16,267008
735,2,3,165722
888,3,3,198911
1262,1,27,203472
2348,4,38,377239
2948,2,33,422139
1123,3,28,213712
3314,2,1,478034
3466,4,8,520520
1752,4,37,305750
3400,5,32,525144
1077,1,37,177050
2622,5,4,434144
934,3,30,197441
2650,2,6,394799
1263,3,19,237814
3285,4,32,493663
3353,5,9,520674
1829,5,12,342045
2645,5,11,436072
3345,3,16,494198
1858,4,1,327966
3406,2,21,475486
2982,2,30,421348
946,3,13,199981
2517,5,34,412104
1831,1,4,281609
748,3,28,169240
665,3,38,157124
1858,4,31,317680
1519,2,27,251740
1041,3,5,217277
1258,3,25,232323
2628,5,3,443683
2680,5,33,430692
1296,1,4,215458
3447,4,25,512048
637,1,20,136182
2731,5,34,442872
1853,2,26,296251
3332,5,5,519743
2375,4,35,376174
568,5,28,179190
3093,4,29,468847
2600,4,9,417560
1973,4,38,333666
704,4,6,196769
2673,4,19,421331
542,2,11,137207
2406,1,2,349071
2658,3,9,412979
1260,1,21,208833
3395,4,24,511360
2642,2,34,383386
2494,5,22,418714
2435,2,3,367907
1399,4,12,271570
859,2,28,169415
3447,2,30,480813
2219,4,26,362173
780,2,21,164969
2387,3,28,370036
1166,3,26,226391
592,2,33,135812
1171,5,21,256042
2469,4,35,392277
560,3,34,150632
3181,5,18,495512
1528,2,11,262072
1989,5,23,354767
1103,1,22,185800
1181,3,17,226396
3081,2,5,449146
1928,4,11,332349
3385,2,30,470199
3192,4,15,483895
2780,2,27,405925
1023,5,35,237610
2893,5,33,456723
3093,5,20,486823
2468,1,16,354746
1601,4,34,285001
2253,5,2,396816
2336,1,35,330051
3341,4,28,501982
2796,2,39,395371
2594,1,6,378609
1644,3,9,286773
2761,1,20,384202
2786,1,1,398328
1579,4,8,295348
2897,2,23,416717
606,3,3,170086
3378,5,4,531711
547,5,25,180330
836,1,38,149715
1549,4,15,289439
3351,4,21,506011
1780,5,35,327760
2555,3,14,391112
1124,2,36,200611
2390,3,12,375197
1776,2,17,281459
2215,5,39,371624
3266,2,9,466269
802,4,35,190408
1138,1,13,200068
555,1,15,126643
1225,5,18,266789
1025,4,33,222036
973,3,6,210621
527,4,27,158327
2625,1,23,368904
864,1,27,152929
3213,4,34,480911
1025,4,38,216360
3246,1,14,443938
1835,3,36,300621
1382,5,8,288980
1530,5,35,297658
1526,4,19,290185
2146,5,30,368126
1418,1,14,232406
3297,1,20,456283
2910,4,25,450632
2274,4,24,372045
2031,4,14,345558
3353,3,26,491701
3286,5,38,505478
2406,4,23,392839
1715,2,22,277941
2154,2,19,333524
984,1,3,181735
2575,5,19,427947
1213,4,9,254156
1562,2,28,257151
2476,5,20,415601
1796,1,7,275481
1754,3,14,299336
2633,5,9,441967
625,5,19,193761
3359,3,14,493173
1036,5,38,234908
2692,1,36,368841
2572,1,17,368000
2103,3,30,330877
566,4,9,177057
732,2,33,159173
2656,4,25,415708
1669,5,14,318482
2658,2,11,395368
2775,3,35,416162
610,3,14,163841
1993,2,30,310559
2581,1,4,373753
1122,2,4,213795
3295,5,28,510509
3142,1,8,437957
2972,3,2,454185
3160,2,22,446918
2041,4,16,349683
3239,4,29,484680
1805,5,30,326795
2261,4,12,375074
2475,2,35,360849
2862,2,11,415782
1376,4,21,263026
2489,2,21,369129
1812,5,5,342959
1960,1,20,291395
3209,5,37,495458
2824,5,3,460235
2233,2,33,332065
2105,1,9,316619
2026,2,9,323800
3171,3,4,471562
3063,2,35,437929
3390,2,17,481409
2897,2,34,413797
2130,1,24,308994
3370,2,32,475351
1660,1,1,260071
1258,4,8,254573
3446,3,23,503121
742,1,12,146701
3090,4,12,475120
1563,1,15,247684
728,1,19,148235
3095,3,26,455396
1419,5,29,287963
1746,5,22,321536
505,1,21,119504
967,2,38,183171
2255,4,20,367682
574,2,29,134200
503,2,4,141577
2370,1,7,343693
1145,1,28,193271
617,1,28,130807
3428,1,4,478127
2129,5,22,371965
3051,1,12,426257
2521,5,3,421689
1446,5,22,286538
3121,1,2,435821
